district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,num_top_schools,percent_top_schools,avg_school_rating,best_rating,percent_students_in_top_schools,total_students,median_sale_price,median_sale_price_per_sqft,total_sales
0100007,Hoover City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",6,0.6,8.9,10,0.627433628318584,5650,270000,110.17699115044248,4984
0100011,Leeds City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,5.0,6,0.0,1259,139400,93.3791380387258,548
0100013,Trussville City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",1,1.0,10.0,10,1.0,939,240000,100.83036773428232,1517
0100390,Birmingham City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,2.33,8,0.0,7910,125000,60.72874493927125,4106
0100660,Chilton County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,5.0,7,0.0,4253,187000,NA,1
0101760,Homewood City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",3,1.0,9.67,10,1.0,1798,290000,224.7191011235955,1336
0102350,Midfield City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,2.0,2,0.0,890,25000,21.665250637213255,154
0102490,Mountain Brook City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",4,1.0,10.0,10,1.0,2420,500000,164.42451420029894,1201
0102550,Oneonta City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,8.0,8,0.0,824,125000,16.414970453053183,196
0103030,Shelby County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",6,0.5,8.0,10,0.620973463885341,7047,195000,99.6553704767375,6821
0103062,St Clair County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",1,0.1,6.7,10,0.109816612729234,4635,155000,90.81346423562412,2122
0103270,Tarrant City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,3.0,3,0.0,264,21000,4.867256637168142,160
0103430,Vestavia Hills City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",5,1.0,10.0,10,1.0,3142,319024,128.10499359795134,2076
0400001,Cave Creek Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,8.0,8,0.0,470,627170,220.01419446415898,1836
0400480,Aguila Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.0,4,0.0,158,177500,116.97860962566845,17
0400520,Ajo Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,3.0,3,0.0,296,36000,28.253886010362695,38
0400600,Alhambra Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,0.0714285714285714,3.07,10,0.0521541950113379,13671,99950,68.32298136645963,2089
0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",2,0.142857142857143,5.93,9,0.149641577060932,7812,222200,122.37762237762237,6576
0400790,Apache Junction Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,5.0,8,0.0,1807,175000,113.85816525699414,2880
0400840,Arlington Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,253,129000,76.07142857142857,26
0400960,Avondale Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.63,6,0.0,5244,157500,88.21170809943865,2425
0401050,Balsz Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.25,3,0.0,2696,126000,109.93975903614458,833
0401380,Buckeye Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.67,5,0.0,4781,140000,74.9,2724
0401680,Cartwright Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.47,6,0.0,13611,104500,72.85276073619632,2921
0401710,Casa Grande Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.56,6,0.0,4597,139500,73.4004739336493,2574
0401760,Catalina Foothills Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",4,1.0,9.0,9,1.0,2108,330000,156.9839307787392,2283
0401870,Chandler Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",16,0.551724137931034,7.48,10,0.599954212454212,21840,260000,131.8676923076923,14160
0402250,Continental Elementary District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,6.0,6,0.0,552,155000,96.74922600619195,2251
0402320,Coolidge Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,1.25,2,0.0,1867,149900,77.36943907156673,2164
0402430,Creighton Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.89,7,0.0,6702,180000,136.64596273291926,2314
0402690,Dysart Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.67,8,0.0,14897,179000,97.14285714285714,10541
0402790,Eloy Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,1.5,2,0.0,757,35000,27.184466019417474,70
0402920,Florence Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.57,6,0.0,5783,146000,74.95833333333333,4642
0403040,Fountain Hills Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,7.0,8,0.0,718,325000,165.88235294117646,2686
0403060,Fowler Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.4,4,0.0,3119,136000,83.41143392689784,951
0403310,Gila Bend Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.0,2,0.0,262,90000,54.723502304147466,20
0403400,Gilbert Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",9,0.333333333333333,7.81,10,0.368932038834951,18643,230000,122.5382932166302,11107
0403420,Glendale Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.65,4,0.0,13749,129921,81.5129811996419,2910
0403780,Higley Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",6,0.75,8.88,10,0.750077471335606,6454,238000,119.26605504587155,5868
0403960,Isaac Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,1.88,2,0.0,5712,83900,69.57913998170174,634
0403990,J O Combs Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,5.6,8,0.0,2750,159000,83.18209316394434,2406
0404230,Kyrene Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",6,0.315789473684211,7.95,10,0.327290413866289,11308,259500,143.47826086956522,7747
0404290,Laveen Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,0.142857142857143,4.14,9,0.140705181261381,6041,165000,83.22496749024707,2352
0404320,Liberty Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.5,5,0.0,1181,199500,104.16666666666667,526
0404380,Litchfield Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,0.142857142857143,7.57,9,0.147709727225939,5829,265000,109.375,3181
0404440,Littleton Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.67,3,0.0,5537,159900,83.51293103448276,2352
0404500,Madison Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",2,0.285714285714286,6.86,10,0.335163757599529,5099,245000,160.53249804228662,3886
0404630,Marana Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",1,0.0833333333333333,6.17,9,0.0829157175398633,6585,189500,107.7217125382263,5214
0404720,Maricopa Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,8.0,8,0.0,456,153000,72.95173961840628,546
0404770,Altar Valley Elementary District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,2.0,2,0.0,367,124000,74.14540202214732,90
0404970,Mesa Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",7,0.12280701754386,5.47,10,0.106540328171944,34616,174000,114.15094339622641,19908
0405100,Mobile Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,1.0,10.0,10,1.0,23,170000,95.94882729211088,2
0405340,Morristown Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,6.0,6,0.0,136,155000,85.55926544240401,60
0405400,Murphy Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.25,4,0.0,1839,63000,57.01813297515111,153
0405460,Nadaburg Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.0,5,0.0,851,225000,102.29112513924991,433
0405640,Oracle Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,374,260000,128.2051282051282,1178
0405670,Osborn Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.75,3,0.0,2306,175000,132.5088339222615,1833
0405850,Palo Verde Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,6.0,6,0.0,447,172990,99.62756052141528,72
0405930,Paradise Valley Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",5,0.25,5.75,10,0.287922961392349,11319,229900,139.1487371375117,8858
0406210,Pendergast Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.08,5,0.0,9756,148000,89.84615384615384,3329
0406250,Peoria Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",6,0.181818181818182,6.39,10,0.200242464779901,23921,194750,110.38430089942764,11522
0406300,Phoenix Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.23,7,0.0,7462,185000,154.90196078431373,1886
0406360,Picacho Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,195,84000,61.111111111111114,29
0406810,Queen Creek Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",3,0.75,9.0,10,0.688616641143441,1959,265000,111.11568546727048,2938
0406900,Red Rock Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,6.0,6,0.0,339,127000,71.32243684992571,233
0407020,Riverside Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,384,134000,79.75797579757976,324
0407080,Roosevelt Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.5,5,0.0,9596,148800,89.56043956043956,3912
0407170,Saddle Mountain Unified School District #90,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.0,4,0.0,700,129900,74.59831675592962,100
0407300,Sahuarita Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,6.5,7,0.0,2614,162800,88.48446815186696,1642
0407570,Scottsdale Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",10,0.526315789473684,7.74,10,0.531524404714817,12641,330000,185.13513513513513,17422
0407750,Deer Valley Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",6,0.214285714285714,6.96,9,0.239585536054134,18916,239900,120.08733624454149,13985
0408130,Stanfield Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.0,2,0.0,529,130000,83.1353919239905,35
0408170,Sunnyside Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,2.25,5,0.0,7920,115000,78.34877843302444,1599
0408230,Superior Unified School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,1.0,1,0.0,223,52000,42.785234899328856,92
0408280,Tanque Verde Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",1,1.0,9.0,9,1.0,500,330000,138.4007029876977,201
0408310,Tempe School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",2,0.125,4.44,9,0.137282392802898,8559,180000,126.27291242362526,4950
0408490,Tolleson Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.75,4,0.0,2923,137500,74.21660252886201,458
0408550,Toltec Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,458,90000,65.19823788546256,913
0408800,Tucson Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",2,0.0333333333333333,3.93,9,0.0280266041290223,26011,144000,94.47165850244926,16188
0408820,Union Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.5,3,0.0,1874,153000,79.59183673469387,814
0408850,Vail Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",2,0.4,8.4,10,0.457794208256315,3246,202000,104.04807084123972,2183
0409060,Washington Elementary School District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,0.0434782608695652,4.3,9,0.0575530960215375,16715,149900,98.50275807722616,8356
0409390,Wilson Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,1279,84500,70.48192771084338,25
0502790,Bauxite School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,4.0,4,0.0,569,142000,89.34959349593495,206
0502960,Benton School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",3,0.75,8.5,10,0.743820224719101,2225,127500,80.43478260869566,1333
0503690,Bryant School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",3,0.375,8.13,10,0.236503856041131,5057,161000,96.06451612903226,2292
0503750,Cabot School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",2,0.181818181818182,6.73,9,0.216567036720752,5855,135000,87.46648793565684,2657
0503960,Carlisle School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,438,110000,60.74091893192206,40
0504590,Conway School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",3,0.3,7.0,10,0.331947743467933,5052,152500,92.12225570383126,2504
0505580,East End School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,320,128000,73.2,39
0505850,England School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,413,70000,41.11842105263158,61
0507140,Guy-Perkins School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,263,144000,82.5,58
0507320,Harmony Grove School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,4.0,4,0.0,421,123000,80.46875,195
0509000,Little Rock School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",6,0.2,4.37,10,0.236545105566219,13025,157900,90.1639344262295,6770
0509060,Lonoke School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,3.0,3,0.0,407,101500,61.22748498999333,205
0509390,Marion School District,"Memphis, TN","Memphis, TN-MS-AR","Memphis, TN-MS-AR",0,0.0,3.0,3,0.0,1263,114900,59.860759493670884,19
0509540,Mayflower School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,471,144500,85.56759840273817,171
0510080,Mt. Vernon Enola School District.,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,8.0,8,0.0,300,124900,78.06490384615384,32
0510680,North Little Rock School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,3.5,7,0.0,2869,117000,71.81818181818181,1476
0511340,Perryville School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,6.0,6,0.0,530,105900,69.36346863468634,44
0511730,Poyen School District,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0.0,7.0,7,0.0,300,82000,70.36713286713287,9
0511850,Pulaski County. Spec. School District.,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",2,0.0869565217391304,4.39,10,0.115646258503401,9261,195000,99.77728285077951,5348
0600001,Acton-Agua Dulce Unified,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0.0,6.0,6,0.0,394,490000,217.32332707942464,442
0600006,Ross Valley Elementary School District,"San Rafael, CA","San Rafael, CA","San Francisco-Oakland-Hayward, CA",4,1.0,9.5,10,1.0,1550,870000,550.7296733842946,822
0600013,Rocklin Unified,"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",7,0.636363636363636,8.91,10,0.691319508166636,5449,385000,183.0,2976
0600014,Hesperia Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,3.19,8,0.0,11312,202000,108.69565217391305,2808
0600015,Lucerne Valley Unified,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,3.0,3,0.0,359,100000,74.02777777777777,137
0600016,Upland Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",2,0.2,6.4,9,0.236089971249789,5913,443000,241.07142857142858,2129
0600017,Apple Valley Unified,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,4.8,8,0.0,8915,193000,107.19754977029096,2188
0600019,Dublin Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",6,1.0,9.67,10,1.0,4928,668257,384.96172895092303,2140
0600020,Pleasanton Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",9,1.0,9.78,10,1.0,6269,828000,439.12175648702595,2455
0600021,Sunol Glen Unified,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",1,1.0,9.0,9,1.0,278,1338500,543.9560439560439,20
0600022,Mendota Unified,"Fresno, CA","Fresno, CA","Fresno, CA",0,0.0,2.0,2,0.0,749,120000,99.78991596638656,48
0600025,Manhattan Beach Unified School District,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",5,1.0,10.0,10,1.0,2812,1850000,869.4718763417776,1156
0600026,El Tejon Unified School District,"Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0.0,3.0,3,0.0,251,165000,122.1001221001221,601
0600027,Lake Elsinore Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,4.21,8,0.0,10569,295000,141.3793103448276,5368
0600028,Temecula Valley Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",9,0.529411764705882,8.29,9,0.569871159563925,12108,356000,162.73481869812144,8151
0600029,Murrieta Valley Unified,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",2,0.181818181818182,7.82,9,0.207629427792916,9175,335000,149.47683109118086,5343
0600032,Redondo Beach Unified School District,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",6,0.75,9.25,10,0.739188290086494,4509,805000,462.1938775510204,2583
0600036,Natomas Unified School District,"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0,0.0,4.63,7,0.0,5811,261000,150.29239766081872,3380
0600040,Riverdale Joint Unified School District,"Fresno, CA","Fresno, CA","Fresno, CA",0,0.0,4.5,6,0.0,1050,119900,94.33580579905596,55
0600042,Warner Unified,"San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",0,0.0,4.0,4,0.0,127,312500,168.6711645643884,83
0600047,Tracy Joint Unified School District,"Stockton, CA","Stockton-Lodi, CA","Stockton-Lodi, CA",0,0.0,4.27,7,0.0,7566,350000,185.2394916911046,2502
0600067,Caruthers Unified,"Fresno, CA","Fresno, CA","Fresno, CA",0,0.0,4.0,4,0.0,836,195000,115.38461538461539,58
0600069,Valley Center-Pauma Unified,"San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",0,0.0,4.67,5,0.0,1467,475000,205.93869731800766,962
0600153,Alhambra Unified School District,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",4,0.307692307692308,7.85,9,0.39368887992741203,9919,530000,360.6666666666667,1817
0601332,Twin Rivers Unified School District,"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0,0.0,3.52,7,0.0,14198,173000,135.23391812865498,6082
0601410,Lammersville Joint Unified School District,"Stockton, CA","Stockton-Lodi, CA","Stockton-Lodi, CA",1,0.2,7.6,9,0.282616062351745,2951,447500,189.32222642938282,943
0601620,Abc Unified School District,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",9,0.473684210526316,7.11,10,0.54108838568298,10952,430000,303.57142857142856,1853
0601710,Adelanto Elementary,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,2.11,5,0.0,6267,167900,91.74311926605505,1769
0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",6,0.666666666666667,8.33,10,0.695458593054319,4492,735000,456.8147778332501,1604
0602160,Alta Loma Elementary,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",1,0.125,7.75,9,0.16477903619809,4503,437000,242.526518804243,1819
0602310,Alum Rock Union Elementary School District,"San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",0,0.0,4.5,8,0.0,7642,461000,366.58141517476554,1626
0602430,Alvord Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",1,0.0714285714285714,4.36,9,0.0930857014992168,8938,300000,186.16567036720753,2495
0602610,Anaheim City,"Orange County, CA","Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach-Anaheim, CA",0,0.0,3.5,6,0.0,19156,419000,285.52005438477227,2989
0602850,Antioch Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",0,0.0,3.5,6,0.0,8260,313000,173.38709677419354,4166
0602970,Arcadia Unified,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",6,1.0,10.0,10,1.0,3779,1025000,488.4004884004884,1694
0603060,Arcohe Union Elementary,"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",0,0.0,7.0,7,0.0,374,425000,236.6412213740458,126
0603270,Arvin Union Elementary,"Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0.0,2.33,4,0.0,2369,131500,89.44027697634161,127
0603600,Azusa Unified School District,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0.0,3.73,6,0.0,4316,352000,273.85159010600705,1528
0603630,Bakersfield City,"Bakersfield, CA","Bakersfield, CA","Bakersfield, CA",0,0.0,3.31,8,0.0,22062,134000,94.82418016594231,4874
0603690,Baldwin Park Unified,"Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0.0,4.23,8,0.0,7651,335000,271.84841453982983,992
0603870,Banta Elementary,"Stockton, CA","Stockton-Lodi, CA","Stockton-Lodi, CA",0,0.0,3.0,3,0.0,345,445000,194.1457586618877,69
0604020,Barstow Unified School District,"Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0.0,3.33,7,0.0,3267,87500,62.45407788390889,290
